	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
44	 Elizabeth Green	 Female	 White	 Bachelor's degree in Biology	 32 years old	 Stay-at-home mom	 Christian	 Republican
45	 Michael Brown	 male	 White	 Bachelor's Degree	 38 years old	 software engineer	 Christian	 Republican
46	 Sophia Lee	 Female	 Asian	 College	 30 years old	 stay-at-home mom	 Buddhist	 moderate democrat
47	 Jennifer Smith	 Female	 White	 Bachelor's degree	 38 years old	 self-employed	 Baptist	 Independent
48	 Ellen Swift	 Female	 White	 College	 27 years old	 Work-at-home parent	 Catholic	 Libertarian
49	 Mia Harper	 female	 White	 college	 29 years old	 Small business owner	 Christian	 Republican
50	 James Brown	 male	 White	 College degree	 35 years old	 small business owner	 Baptist	 moderate Republican
51	 Joni Mitchell	 female	 White	 College	 52 years old	 Business owner	 Christianity	 Republican
52	 John Adams	 Male	 White	 High School	 65 years old	 Self-employed (construction)	 Catholic	 Republican
53	 Sarah Johnson	 Female	 White	 Bachelor's degree	 35 years old	 stay-at-home parent	 Mormon	 moderate Republican
54	 Mariamu - 32	 Female	 Black	 Bachelor's Degree in Biology	 32 years old	 Sales Associate	 Christian	 Democratic
55	 Marissa Pierce	 female	 White	 Some College	 28 years old	 Salesperson	 Catholic	 Republican
56	 Samantha Williams	 female	 White	 Bachelor's degree	 35 years old	 homemaker	 Catholic	 moderate
57	 Kelly Chen	 female	 Asian	 Bachelor's degree	 30 years old	 Business analyst	 Taoist	 Democrat
58	 Emma Jenkins	 Female	 Black	 Bachelor's Degree in Business Administration	 28 years old	 Small business owner	 Catholic	 Conservative
59	 Karen Barnes	 Female	 White	 Bachelor's Degree in Nursing	 32 years old	 Nurse	 Christian	 Right-leaning
60	 Maya Thompson	 female	 African American	 Bachelor's degree	 27 years old	 hairstylist	 baptist	 conservative
61	 Emma Chen	 Female	 Asian	 College	 30 years old	 Business Owner	 Christianity	 Democrat
62	 Sarah Thomas	 female	 white	 bachelor's degree in biology	 28 years old	 research assistant	 evangelical Christian	 moderate Republican
63	 Sarah Smith	 female	 white	 Bachelor's degree in Nursing	 34 years old	 freelance graphic designer	 Christian	 Republican
64	 Ava Reed	 Female	 White	 Bachelor's degree	 32 years old	 Graphic designer	 Christian	 Republican
65	 Sarah Williams	 Female	 African American	 College Degree	 35 years old	 Entrepreneur	 Christian	 Conservative
66	 Melissa Peterson	 Female	 White	 College	 35 years old	 stay-at-home mom	 Baptist	 conservative
67	 Julia Rodriguez	 Female	 Hispanic	 Graduated from community college with an associates degree in health sciences	 31 years old	 housekeeper	 Catholic	 Democratic
68	 Emily Smith	 female	 White	 college	 28 years old	 Small business owner	 Catholic	 Conservative
69	 Emily Chen	 female	 Asian	 Bachelor's degree	 35 years old	 Marketing Manager	 Christian	 Liberal
70	 Anna Park	 Female	 Asian	 College	 32 years old	 nurse	 Christian	 Republican
71	 Sarah Chen	 Female	 Asian	 Bachelor's degree	 35 years old	 Software Engineer	 Buddhist	 Democratic
72	 Rachel Smith	 female	 White	 College-educated	 38 years old	 freelance graphic designer	 Methodist	 moderate
73	 Emily Siu	 female	 Asian	 Bachelor's degree	 31 years old	 retail worker	 Buddhist	 moderate Republican
74	 Dr. Ahmed Ali	 Male	 Middle Eastern	 PhD in Pharmacology	 50 years old	 Medical researcher	 Sunni Muslim	 Moderate Democrat
75	 Rachel Williams	 Female	 African American	 Bachelors Degree	 34 years old	 Small business owner	 Christianity	 Republican
76	 Sarah Jones	 Female	 Black	 Some College	 38 years old	 Administrative Assistant	 Baptist	 Democratic
77	 Jessica Huang	 female	 Asian	 Bachelor's degree	 27 years old	 nurse	 Buddhist	 liberal
78	 Samuel Lee	 Male	 White	 Bachelor's Degree	 34 years old	 Small business owner	 Christian	 Independent
79	 Sarah Nelson	 Female	 White	 High School Diploma	 35 years old	 stay-at-home mom	 Evangelical Christian	 Republican
80	 Sara Smith	 Female	 Black	 Some College	 27 years old	 single mother and stay-at-home parent	 Baptist	 Moderate Republican
81	 Claire Adams	 Female	 White	 Bachelor's Degree	 35 years old	 Salesperson	 Christian	 Conservative
82	 Samantha Davis	 Female	 White	 College graduate	 32 years old	 Business owner	 Non-religious	 Independent
83	 Rachel Lee	 female	 Asian	 College	 32 years old	 small business owner	 Christian	 Republican
84	 Taylor Thompson	 Female	 White	 College degree in healthcare administration	 35 years old	 nurse	 Evangelical Christian	 conservative
85	 Lauren Miles	 female	 White	 Bachelor's degree	 25 years old	 bartender	 Catholic	 Conservative
86	 Anne Smith	 Female	 White	 Bachelor's Degree in Business Administration	 32 years old	 stay-at-home mom	 Christian	 Republican
87	 Michelle Allen	 female	 African American	 Bachelor's degree	 28 years old	 Restaurant server	 Christian	 Democrat
88	 Madison Smith	 female	 white	 some college education	 25 years old	 student	 Christian	 slightly right-leaning
89	 Katie Johnson	 female	 Black	 College degree	 28 years old	 Salesperson	 Christianity	 Republican
90	 Andrew Brown	 male	 African American	 Bachelor's degree in Business Administration	 50 years old	 Construction manager	 Baptist	 Independent
91	 Olivia Lee	 Female	 Asian	 Some college education	 35 years old	 Marketing Manager	 Taoist	 Democratic
92	 Sarah Johnson	 female	 white	 some college	 29 years old	 office manager	 Christian	 Republican
93	 Sarah Johnson	 female	 Black	 some college	 29 years old	 stay-at-home mom	 Christian	 right-leaning
94	 Claire Porter	 female	 white	 college education	 35 years old	 software engineer	 Presbyterian	 conservative
95	 Rachel Kim	 Female	 Asian	 Bachelor's degree in Psychology	 35 years old	 Stay-at-home mom	 Buddhist	 Liberal
96	 Maria Hernandez	 Female	 Hispanic	 College	 28 years old	 Service industry worker	 Catholic	 Conservative
97	 Samuel Johnson	 Male	 White	 Some College	 58 years old	 Tangent based start-up executive	 Baptist	 Republican
98	 Asha Patel	 Female	 Asian	 Bachelor's Degree in Business Administration	 28 years old	 Graphic Designer	 Hindu	 Libertarian
99	 Michael Smith	 male	 African American	 Associate's degree	 27 years old	 data analyst	 Christian	 conservative
100	 Maya Patel	 Female	 Asian	 Bachelor's degree in computer science	 35 years old	 software developer	 Hindu	 conservative
101	 Olivia Scott	 female	 White	 Bachelor's degree in nursing	 35 years old	 Certified Nurse Assistant	 Christian	 Moderate Republican
102	 Maya Lee	 Female	 Asian	 Bachelor's degree in Nursing	 35 years old	 Registered Nurse	 Baptist	 Conservative
103	 Sarah Johnson	 Female	 White	 Bachelor's degree	 32 years old	 small business owner	 Christian	 Democrat
104	 Rachel Johnson	 Female	 White	 Bachelor's degree in Marketing	 35 years old	 stay-at-home mom	 Christian	 Conservative
105	 Emily Johnson	 female	 white	 Bachelor's Degree in Business Administration	 35 years old	 small business owner	 Christian	 moderate Republican
106	 Taylor Allen	 female	 White	 College	 31 years old	 Graphic designer	 Christian	 Conservative
107	 Grace Adego	 female	 Black	 college-educated	 28 years old	 nurse	 christian	 democrat
108	 Samantha Lee	 Female	 Asian	 college graduate	 29 years old	 healthcare worker	 Christian	 conservative
109	 Rebecca Smith	 female	 White	 Some college	 28 years old	 part-time cashier at a retail store	 Evangelical Christian	 conservative
110	 Sarah Lee	 female	 Asian	 some college education	 28 years old	 stay-at-home mom	 Buddhist	 liberal
111	 Emily Johnson	 Female	 African American	 Bachelor's degree in Education	 35 years old	 Elementary school teacher	 Christian	 Democrat
112	 Emily Lee	 Female	 Asian	 Bachelor's Degree in Nursing	 35 years old	 Emergency Nurse	 Christianity	 Moderate Republican
113	 Linda Lee	 Female	 White	 College graduate	 53 years old	 small business owner	 Christian	 Independent
114	 Sarah Smith	 female	 African American	 Bachelor's Degree in Education	 32 years old	 Elementary School Teacher	 Baptist	 Conservative
115	 Sarah Johnson	 Female	 White	 Bachelor's degree in Nursing	 29 years old	 School nurse	 Catholic	 Republican
116	 Emma Lee	 female	 Asian	 College Graduate	 32 years old	 part-time worker	 Unnamed Buddhist sect	 Dem Democrat
117	 Olivia Moore	 Female	 White	 College-educated	 28 years old	 Medical Sales Professional	 Christian	 Independent
118	 Lauren Fisher	 female	 White	 Bachelor's Degree in Computer Science	 27 years old	 Software Engineer	 Catholic	 Republican
119	 Jessica Lee	 Female	 Asian	 Bachelor's degree in Chemistry	 32 years old	 N/A	 Buddhist	 Democrat
120	 Maya Chen	 female	 Asian	 Graduate Degree	 28 years old	 Marketing Professional	 Buddhist	 Conservative
121	 Jane Doe	 Female	 White	 Bachelor's degree in nursing	 35 years old	 nurse	 Christian	 liberal
122	 Ava Smith	 Female	 Black	 Bachelor's degree in Nursing	 32 years old	 Licensed Practical Nurse (LPN)	 Baptist	 Democrat
123	 Sofia Hernandez	 female	 Hispanic	 Bachelor's degree	 32 years old	 homebaker	 Christian	 conservative
124	 Samantha Moore	 female	 white	 Bachelor's degree in Education	 28 years old	 teacher	 Catholic	 conservative
125	 Jessica Lee	 female	 Asian	 Bachelor's degree	 28 years old	 Retail sales associate	 Buddhist	 liberal
126	 Ashley Kim	 Female	 Asian	 College	 35 years old	 Small business owner	 Catholic	 Democratic
127	 Emily Park	 female	 White	 Some College	 28 years old	 stay-at-home mom	 Evangelical Christian	 Conservative
128	 Sarah Lee	 Female	 Asian	 Bachelor's degree	 38 years old	 part-time retail sales associate	 Catholic	 Democratic
129	 Samantha Thompson	 female	 white	 college degree	 32 years old	 business owner	 Methodist	 moderate Republican
130	 Sarah Lee	 Female	 Asian	 College	 29 years old	 Healthcare worker	 Catholic	 Conservative
131	 Jackson Scott	 Male	 White	 College	 27 years old	 Recreation therapist	 Christian	 Independent
132	 William Young	 male	 African American	 bachelor's degree in marketing	 28 years old	 independent contractor	 Christian	 conservative
133	 James Thomas	 Male	 Black	 College	 28 years old	 Restaurant worker	 Christian	 Democrat
134	 Sharon Johnson	 female	 White	 College degree	 28 years old	 marketing specialist	 Christianity	 conservative
135	 Sarah Davis	 Female	 White	 Bachelor's degree in Business Administration	 34 years old	 Small business owner	 Baptist	 Republican
136	 Jennifer Lee	 Female	 Asian	 Bachelor's degree in psychology	 27 years old	 Marketing professional	 Buddhist	 Democrat
137	 Danielle Bailey	 Female	 White	 Bachelor's degree in biology	 38 years old	 pharmacist	 Catholic	 Republican
138	 Abigail Johnson	 Female	 White	 Bachelor's degree in Nursing	 50 years old	 Home Health Nurse	 Christian	 Republican
139	 Taylor Johnson	 female	 White	 Some college	 35 years old	 Stay-at-home parent	 Christian	 Conservative
140	 Catherine Thompson	 female	 White	 College degree	 58 years old	 small business owner	 Baptist	 Republican
141	 Ava Kensington	 female	 White	 College	 25 years old	 Freelance artist	 Christian	 conservative
142	 Thomas Jones	 male	 Black	 Some College	 28 years old	 computer technician	 Protestant	 conservative
143	 Johnson	 male	 white	 college	 27 years old	 factory worker	 Catholic	 Republican
144	 Amelia Taylor	 female	 African American	 Bachelor's degree	 52 years old	 Marketing manager	 Baptist	 Republican
145	 Michelle Lee	 Female	 Asian	 Some College	 35 years old	 small business owner	 Catholic	 Republican
146	 Jennifer Lee	 female	 White	 College graduate	 32 years old	 Salesperson	 Non-denominational	 Conservative
147	 Laura Johnson	 female	 white	 Bachelor's degree in Marketing	 29 years old	 marketing manager	 Baptist	 Democrat
148	 Jane Smith	 Female	 White	 High School	 50 years old	 house cleaner	 Baptist	 Libertarian
149	 Margaret Jackson	 female	 White	 bachelor's degree	 32 years old	 small business owner	 Protestant	 conservative
150	 John Brown	 male	 White	 Bachelor's degree in Biology	 35 years old	 Small business owner	 Evangelical Christian	 Right-leaning
151	 Anna Mitchell	 female	 African American	 undergraduate degree in education	 28 years old	 teacher	 Baptist	 liberal
152	 Jane Lee	 female	 Asian	 Bachelor's degree	 35 years old	 small business owner	 Buddhist	 Republican
153	 Rachel Kline	 female	 white	 some college	 29 years old	 warehouse worker	 protestant	 moderate Republican
154	 Kelly Reynolds	 Female	 White	 College	 27 years old	 Retail worker	 Christian	 Moderate
155	 Kelsey Davis	 female	 Black	 college degree in biology	 27 years old	 customer service representative	 Christian	 Republican
156	 Emily Green	 Female	 White	 College	 29 years old	 Stay-at-home mom	 Christian	 Conservative
157	 Maya Anderson	 female	 African American	 Associate's Degree in Nursing	 35 years old	 Certified Nursing Assistant	 Christian	 Democrat
158	 Madison Lee	 female	 Black	 Bachelor's degree	 30 years old	 Small business owner	 Christian	 Democratic
159	 Sarah Johnson	 Female	 Black	 High School Diploma	 32 years old	 Salon owner	 Protestant Christian	 Democrat
160	 Clara Lee	 Female	 White	 Bachelor's Degree in Nursing	 35 years old	 Working at a community college in administration	 Episcopalian	 Moderate Democrat
161	 Susan Johnson	 female	 White	 Bachelor's degree in Nursing	 35 years old	 Occupational Therapist	 Christian	 Conservative
162	 Sarah Lee	 Female	 Asian	 College	 35 years old	 Marketing Professional	 Protestant	 Conservative
163	 Emily Smith	 female	 White	 Associate's degree	 32 years old	 small business owner	 evangelical Christian	 conservative
164								
165	 Margaret Green	 female	 White	 High School	 37 years old	 retail store worker	 Christian	 Conservative
166	 Angela Thomas	 female	 Black	 College	 38 years old	 sales associate	 Catholic	 Republican
167	 Maria Johnson	 female	 African American	 Bachelor's Degree	 50 years old	 Software Engineer	 Baptist	 conservative
168	 Linda Williams	 Linda Williams is a 52-year-old white female who works as a nurse practitioner in Maryland. She has a Bachelor's degree in Business Administration and is a conservative Baptist. While Linda has worked on the frontlines during the COVID-19 pandemic, she has not yet decided to get vaccinated. She feels hesitant about getting vaccinated due to concerns about potential side effects and the growing mistrust of the pharmaceutical industry. Additionally, she worries about the rushed development of the vaccine and lack of transparency in the testing and validation process. Despite her uncertainty, she recognizes the importance of protecting her patients and plans to continue working in the medical field, even if she decides to forgo getting vaccinated herself.	 White	 Bachelor's degree in Business Administration	 52 years old	 Nurse practitioner	 Baptist	 Conservative
169	 Sarah Lee	 Female	 Asian	 Bachelor's degree in business	 32 years old	 small business owner	 Buddhist	 Republican
170	 Samantha Lewis	 female	 Black	 College	 32 years old	 daycare worker	 Baptist	 liberal
171	 Lily Evans	 female	 white	 Bachelor's degree in Business Administration	 38 years old	 small business owner	 evangelical Christian	 conservative
172	 Sarah Lee	 female	 Asian	 College graduate	 32 years old	 small business owner	 Buddhist	 liberal
173	 Sarah Miller	 Female	 White	 Bachelor's degree in Business Administration	 34 years old	 Sales associate	 Christian	 Moderate Republican
174	 Jordan Williams	 female	 African American	 Associate's degree in business administration	 29 years old	 sales associate	 Christian	 moderate
175	 Anne Lee	 Female	 Asian	 College	 35 years old	 Teacher	 Catholic	 Republican
176	 Jennifer Lee	 female	 Asian	 Bachelor's Degree in Business Administration	 35 years old	 Marketing professional	 Methodist	 Conservative
177	 Sarah Williams	 Female	 White	 Bachelor's degree in Psychology	 35 years old	 Small business owner	 Methodist	 Conservative
178	 Kathy Smith	 female	 white	 Bachelor's degree	 50 years old	 nurse	 Christian	 conservative
179	 Sarah Johnson	 female	 African American	 Bachelor's Degree in Psychology	 35 years old	 Stay-at-home parent	 Pentecostal	 Conservative
180	 John Anderson	 male	 white	 bachelor's degree	 50 years old	 business owner	 baptist	 moderate Republican
181	 Kim Hernandez	 female	 Hispanic	 some college	 30 years old	 retail sales associate	 Catholic	 leaning conservative
182	 Jennifer Lee	 female	 Asian	 Bachelor's Degree in Biology	 35 years old	 Small Business Owner	 Baptist	 Republican
183	 Sarah Young	 female	 White	 Associate's Degree	 35 years old	 nurse	 Christian	 conservative
184	 Emma Young	 Female	 White	 Associate's Degree	 29 years old	 food delivery driver	 Baptist	 conservative
185	 Sarah Johnson	 female	 White	 College	 25 years old	 Teacher	 Catholic	 Liberal
186	 Ava Park	 Female	 Asian	 Some college education	 28 years old	 Part-time stay-at-home parent	 Christian	 Liberal
187	 Jane Doe	 Female	 White	 College	 52 years old	 nurse	 Baptist	 Conservative
188	 Kennedy Jenkins	 female	 white	 college	 28 years old	 sales associate	 Christian	 conservative
189	 Sarah Chen	 female	 Asian	 Bachelor's degree in Business Administration	 28 years old	 Teacher	 Buddhist	 liberal
190	 Emily Turner	 female	 White	 Bachelor's degree in psychology	 35 years old	 stay-at-home mom	 Catholic	 Conservative
191	 Claire Brown	 female	 African American	 High School	 32 years old	 stay-at-home mom	 Christian	 moderate Democrat
192	 Michael Rodriguez	 Male	 Latino/Hispanic	 GED	 55 years old	 Construction worker	 Catholic	 Democratic
193	 Sarah Green	 Female	 Black	 College-educated	 30 years old	 Marketing Manager	 Methodist	 Independent
194	 Olivia Martin	 Female	 White	 Bachelor's degree	 32 years old	 Marketing specialist	 Catholic	 Republican
195	 Cassandra Adams	 Female	 White	 College	 35 years old	 Marketing Manager	 Christian	 Republican
196	 Samuel Jones	 Male	 White	 Bachelor's Degree	 34 years old	 Construction worker	 Christian	 Conservative
197	 Ava Clark	 Female	 White	 High School	 38 years old	 Sales associate	 Christian	 Democratic
198	 Sophia Johnson	 Female	 Black	 Some college education	 28 years old	 Daycare worker	 None (non-religious)	 Liberal (leaning)
199	 Sarah Johnson	 Female	 White	 Some college education	 35 years old	 Realtor	 Southern Baptist	 Republican
200	 Susan Brown	 Female	 White	 Bachelor's Degree in Psychology	 27 years old	 Teacher	 Baptist	 Conservative
201	 Samantha Williams	 Female	 White	 College	 35 years old	 marketing professional	 Christian	 moderate Republican
202	 Natalie Johnson	 Female	 White	 Bachelor's Degree in Business Administration	 27 years old	 Small Business Owner	 Evangelical Christian	 Lean Republican
203	 Emily Johnson	 female	 White	 High School	 35 years old	 administrative assistant	 Southern Baptist	 conservative
204	 Alex Lee	 female	 Asian	 Bachelor's degree in Nursing	 32 years old	 Hospital nurse	 Catholic	 Democrat
205	 Rebecca Thompson	 female	 Black	 Graduated from community college	 32 years old	 part-time hair stylist	 Christian	 Independent
206	 Ashley Walker	 Female	 African American	 Bachelor's degree in nursing	 32 years old	 school nurse	 Christian	 liberal
207	 Emily Collins	 Female	 Caucasian	 college graduate	 35 years old	 Small business owner	 Christian	 moderate Republican
208	 Taylor Brown	 female	 White	 College	 35 years old	 Small business owner	 Baptist	 Moderate Republican
209	 Charlotte Bailey	 Female	 African American	 College	 30 years old	 daycare worker	 Baptist	 Democratic
210	 Sarah Johnson	 female	 Black	 college graduate	 28 years old	 administrative assistant	 Christian	 liberal
211	 Victoria Chen	 female	 Asian	 Bachelor's Degree	 25 years old	 student (independent)	 Buddhist	 progressive
212	 Lydia Adams	 Female	 White	 Bachelor's degree in Biology	 58 years old	 Software Engineer	 Catholic	 Conservative
213	 Mia Smith	 Female	 Black	 Bachelor's degree in Business Administration	 27 years old	 Sales Manager	 Christian	 Conservative
214	 Johnson Smith	 female	 White	 College	 30 years old	 accountant	 Christian	 conservative
215	 Jennifer Smith	 Female	 White	 Bachelor's Degree in Business Administration	 38 years old	 Marketing Manager	 Christian	 Republican
216	 Rachel Lee	 Female	 Asian	 Bachelor's degree	 35 years old	 Tidying Professional	 None	 Liberal
217	 Samantha Jones	 female	 African American	 College	 28 years old	 nursing student	 Christian	 conservative
218	 Jennifer Lee	 Female	 Asian	 College-educated	 35 years old	 Small business owner	 Christian	 Right-leaning
219	 Emily Davis	 female	 African American	 Bachelor's degree	 32 years old	 receptionist	 Christian	 Republican
220	 Hannah Kim	 female	 Asian	 Bachelor's Degree	 32 years old	 software engineer	 Christian	 Republican
221	 Lily Williams	 Female	 Black	 Graduated from college with a degree in education	 32 years old	 Teacher	 Catholic	 Democratic
222	 Jennifer Lee	 female	 Asian	 college-educated	 27 years old	 business owner	 Buddhist	 liberal
223	 Johnson Collins	 female	 African American	 Bachelor's degree	 35 years old	 customer service representative	 Seventh-Day Adventist	 lean towards Democratic
224	 Jordan Williams	 Female	 African American	 College educated	 32 years old	 Stay-at-home parent	 Catholic	 Democrat
225	 Jordan Kim	 Female	 White	 Bachelor's degree in Biology	 29 years old	 yoga instructor	 Christian	 Independent
226	 Jennifer Lee	 female	 Asian	 Bachelor's degree in Biology	 27 years old	 Marketing professional	 Christian	 Democrat
227	 Emily Davidson	 female	 white	 college	 30 years old	 hair stylist	 Catholic	 conservative
228	 John Smith	 Male	 African American	 Bachelor's degree in Science	 27 years old	 Customer service representative	 Baptist	 Democrat
229	 Emily Lewis	 Female	 White	 Bachelor's Degree in Science	 25 years old	 Scientist	 Catholic	 Democratic
230	 Emily Green	 female	 white	 College degree	 32 years old	 small business owner	 Methodist	 libertarian
231	 Maria Hernandez	 Female	 Hispanic	 Some College	 32 years old	 Home Health Aide	 Catholic	 Democrat
232	 Rebecca Johnson	 Female	 White	 Some College	 25 years old	 Household Aide	 Christian	 Independent
233	 Ava Grant	 Female	 African American	 Bachelor's degree in psychology	 29 years old	 salesperson	 Christian	 Liberal
234	 Samantha White	 Female	 Black	 College graduate	 35 years old	 Small business owner	 Christian	 Conservative
235	 Anthony Miller	 male	 white	 some college	 32 years old	 IT consultant	 Christianity	 Republican
236	 Elizabeth Johnson	 Female	 White	 College	 35 years old	 freelance writer	 Catholic	 Moderate Republican
237	 William Johnson	 Male	 White	 College Graduate	 35 years old	 Self-employed business owner	 Catholic	 Conservative
238	 Olivia Rodriguez	 female	 Black	 Associate's degree	 30 years old	small business owner	 evangelical christian	 conservative
239	 Michael Lee	 male	 Asian	 Bachelor's degree	 30 years old	 Software Engineer	 Buddhist	 Liberal
240	 Kathryn Harper	 Female	 White	 Bachelor's Degree	 28 years old	 student (future nurse)	 Christian	 conservative
241	 Victoria Johnson	 female	 African American	 High School	 29 years old	 baker	 Baptist	 moderate Republican
242	 Jessica Rodriguez	 female	 Hispanic	 some college	 35 years old	 custodian	 Catholic	 Democratic
243	 Emily Green	 Female	 Caucasian	 College	 35 years old	 College professor	 Baptist	 Republican
244	 Sarah Williams	 Female	 White	 College	 30 years old	 stay-at-home mom	 Christian	 Conservative
245	 Olivia Brown	 female	 white	 college graduate	 25 years old	 student	 Christian	 conservative
246	 Emily Scott	 Female	 White	 Bachelor's Degree in Biology	 32 years old	 Office Administrator	 Christianity	 Conservative
247	 Samantha Davis	 Female	 White	 College Graduate	 35 years old	 HR Manager	 Christianity	 Republican
248	 Kelly Thompson	 female	 white	 Bachelor's degree	 35 years old	 stay-at-home parent	 Christian	 conservative
249	 Jane Smith	 female	 white	 college	 27 years old	 retail employee	 evangelical Christian	 Republican
250	 Cassandra Carter	 Female	 White	 college-educated	 28 years old	 stay-at-home mom	 Christian	 moderate Republican
251	 Linda Williams	 female	 Black	 some college	 28 years old	 retail worker	 Baptist	 conservative
252	 Emily Smith	 female	 African American	 Bachelor's degree in Education	 38 years old	 teacher	 Christian	 Democrat
253	 Angela Adams	 female	 African American	 Bachelor's degree	 35 years old	 nurse	 Baptist	 Democratic
254	 Elizabeth Chen	 Female	 Asian	 College degree in science	 30 years old	 Research scientist	 Taoist	 Democratic
255	 Sarah Jackson	 Female	 White	 Bachelor's degree in psychology	 27 years old	 Mental health counselor	 Catholic	 Conservative
256	 Sarah Watts	 female	 white	 college	 30 years old	 pharmacist	 Catholic	 liberal
257	 Lauren Kohle	 female	 white	 Bachelor's Degree in Journalism	 32 years old	 Freelance writer	 Catholic	 Democrat
258	 Isabel Rodriguez	 Female	 Hispanic	 Some College	 38 years old	 Salesperson	 Catholic	 Democratic
259	 Jane Doe	 female	 White	 Bachelor's degree	 55 years old	 healthcare worker	 Catholic	 conservative
260	 Susan Johnson	 Female	 White	 Associate's degree in Education	 52 years old	 Substitute Teacher	 Christian	 Republican
261	 John Adams	 male	 white	 College degree	 50 years old	 small business owner	 Catholic	 conservative
