	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
103	 Sophia Lee	 Female	 Asian	 College	 25 years old	 Medical Intern	 Buddhist	 Liberal
104	 Julia Davis	 Female	 Black	 Bachelor's degree	 28 years old	 Marketing Manager	 Baptist	 Democratic
105	 Karen Williams	 Female	 White	 Bachelor's degree in Nursing	 38 years old	 Registered Nurse	 Roman Catholic	 Liberal
106	 Ms. Kimura	 female	 Asian	 Graduate with a Bachelor's degree	 28 years old	 Scientist	 Buddhist	 Liberal.
107	 Mark Smith	 Male	 White	 Bachelor's degree	 52 years old	 Software Engineer	 Christianity	 Democrat
108	 Olivia Green	 Female	 White	 Bachelor's degree	 30 years old	 Marketing professional	 Non-denominational	 Democrat
109	 Maya Patel	 Female	 Asian	 Bachelor's degree in computer science	 28 years old	 Software developer	 Hindu	 Democrat
110	 Ava Smith	 female	 White	 Bachelor's degree in psychology	 35 years old	 Stay-at-home mom	 Baptist	 Democrat
111	 Smith	 Female	 White	 College	 55 years old	 Nurse	 Christian	 Democrat
112	 Samantha Kim	 Female	 Asian	 Bachelor's Degree	 35 years old	 Technology executive	 Christian	 Democrat
113	 William Brown	 Male	 White	 Bachelor's degree in Science	 65 years old	 Retired healthcare worker	 Baptist	 Moderate
114	 Sara Chen	 Female	 Asian	 College degree	 32 years old	 Marketing Manager	 Buddhist	 Democrat
115	 Wilson Smith	 female	 Black	 Bachelor's degree in biology	 52 years old	 PhD researcher	 Catholic	 Liberal
116	 Thompson	 female	 White	 Bachelor's degree	 55 years old	 software engineer	 Methodist	 moderate Democrat
117	 Julia Hernandez	 Female	 Black or African American	 Bachelor's degree in Computer Science	 27 years old	 Software Engineer	 Christian	 Democratic
118	 Kim Smith	 Female	 White	 Bachelor's Degree	 55 years old	 Software Engineer	 Non-religious	 Democrat
119	 Smith	 female	 White	 Bachelor's degree in Science	 35 years old	 Biomedical researcher	 Christian	 Democratic
120	 Emily Johnson	 Female	 White	 Bachelor's degree in nursing	 35 years old	 Registered nurse	 Christian	 Democratic
121	 Sarah Chen	 Female	 Asian	 College Graduate	 35 years old	 Marketing Manager	 Buddhist	 Democrat
122	 Emily Chen	 female	 Asian	 College degree in biology	 27 years old	 lab technician	 agnostic	 Democrat
123	 Jill Smith	 female	 White	 Master's Degree	 35 years old	 Nursing Manager	 Christian	 Democratic
124	 Johnson	 Female	 Caucasian	 Bachelor's Degree	 35 years old	 Doctor	 Christianity	 Democrat
125	 Clark Smith	 Female	 White	 Bachelor's degree in Nursing	 38 years old	 Registered Nurse	 Christian	 Liberal
126	 Lisa Scott	 Female	 White	 Bachelor's degree	 35 years old	 Software engineer	 Christianity	 Democratic
127	 Emily Johnson	 Female	 White	 Bachelor's Degree	 28 years old	 IT consultant	 Christianity	 Liberal
128	 Emma Lee	 female	 Asian	 College	 32 years old	 IT Analyst	 Buddhist	 moderate democrat
129	 Jackson Williams	 Male	 White	 Bachelor's Degree in Biology	 35 years old	 Software Engineer	 Protestant	 Democrat
130	 Sarah Smith	 female	 White	 Bachelor's Degree	 35 years old	 Software Engineer	 Methodist	 Democrat
131	 Emerson Davis	 Female	 White	 Bachelor's Degree	 35 years old	 Science Researcher	 Uncertain	 Liberal
132	 Johnson Smith	 female	 white	 Bachelor's degree	 55 years old	 nurse	 Catholic	 Democrat
133	 Kennedy Brown	 Female	 African American	 Bachelor's degree in Psychology	 29 years old	 Software Engineer	 Christian	 Democrat
134	 Taylor Thompson	 female	 White	 Bachelor's degree	 28 years old	 office worker	 Christian	 Democratic
135	 Victoria Johnson	 Female	 White	 College degree	 35 years old	 Nursing manager	 Baptist	 Moderate
136	 Olivia Davis	 Female	 White	 Bachelor's Degree	 25 years old	 Marketing Analyst	 Methodist	 Democrat
137	 Johnson Smith	 Female	 White	 Bachelor's Degree	 35 years old	 Healthcare worker	 Christianity	 Liberal
138	 Emma Johnson	 Female	 Black	 College	 35 years old	 Marketing Manager	 None	 Democrat
139	 Susan Lee	 Female	 Asian	 Bachelor's Degree in Biology	 28 years old	 Research Scientist	 Buddhist	 Democrat
140	 Sarah Patel	 female	 Asian	 Bachelor's degree in Computer Science	 27 years old	 Software Engineer	 Hindu	 Liberal
141	 Jane Thomas	 Female	 White	 Bachelor's degree in Education	 60 years old	 Retired School Teacher	 Church of Christ	 Democrat
142	 Sarah Kim	 Female	 Asian	 Bachelor's degree	 28 years old	 Digital marketer	 Catholic	 Liberal
143	 John Adams	 Male	 Caucasian	 College graduate	 52 years old	 Marketing executive	 Baptist	 Liberal
144	 Jennifer Thompson	 female	 White	 Bachelor's Degree	 35 years old	 Software Engineer	 Non-religious	 Liberal
145	 Taylor Collins	 Female	 White	 Bachelor's degree in Nursing	 32 years old	 Registered Nurse	 Catholic	 Democrat
146	 Johnson	 Female	 Caucasian	 College Graduate	 55 years old	 Nurse	 Methodist	 Democrat
147	 Sarah Johnson	 Female	 White	 Bachelor's degree in science	 35 years old	 Marketing professional	 Catholic	 Democrat
148	 Katherine Rodriguez	 Female	 White	 Master's Degree	 38 years old	 Nurse	 Christian	 Moderate
149	 Madison Williams	 female	 White	 Bachelor's Degree in Environmental Science	 28 years old	 Environmental Consultant	 Non-religious	 Libertarian
150	 Alice Thompson	 Female	 White	 College	 50 years old	 Sales Executive	 Christianity	 Democratic
151	 Sarah Johnson	 Female	 White	 Bachelor's Degree	 35 years old	 Public Health Nurse	 None (Non-religious)	 Democrat
152	 Olivia Smith	 Female	 White	 College degree	 27 years old	 Software Engineer	 Atheist	 Liberal
153	 Julia Hernandez	 female	 Asian	 Bachelor's degree	 35 years old	 Marketing executive	 Buddhist	 Liberal
154	 Sara Rodriguez	 female	 White	 Bachelor's degree	 34 years old	 teacher	 Christianity	 moderate Democrat
155	 Madison Rodriguez	 female	 mixed (African American and Latina)	 Bachelor's degree in Business Administration	 28 years old	 marketing professional	 Catholic	 liberal
156	 Samantha Lee	 female	 Asian	 College graduate	 35 years old	 lawyer	 Buddhist	 liberal
157	 Olivia Davis	 female	 white	 Bachelor's degree	 25 years old	 software engineer	 Methodist	 moderate Democrat
158	 Johnson Smith	 Female	 White	 College	 55 years old	 nurse	 Christian	 moderate Democrat
159	 Olivia Johnson	 Female	 White	 Bachelor's degree in Computer Science	 35 years old	 Software Engineer	 Catholic	 Liberal
160	 Sophia Chen	 Female	 Asian	 College Graduate	 28 years old	 Marketing Manager	 Buddhist	 Liberal
161	 Olivia Green	 Female	 White	 Bachelor's Degree in Biology	 32 years old	 Scientist	 Methodist	 Democrat
162	 Baker Reed	 female	 white	 college graduate	 27 years old	 marketing manager	 agnostic	 moderate Democrat
163	 Jacqueline Williams	 Female	 Black or African American	 Bachelor's Degree	 28 years old	 Marketing professional	 Christianity	 Democratic
164	 Linda Lee	 Female	 White	 Master's Degree	 62 years old	 Nurse	 Christian	 Democrat
165	 Lauren Thompson	 Female	 White	 Bachelor's Degree	 35 years old	 Data analyst	 Agnostic	 Liberal
166	 Taylor Johnson	 Female	 White	 College	 28 years old	 Business Owner	 Christianity	 Democratic
167	 Kim Zhang	 female	 Asian	 Bachelor's degree in Computer Science	 32 years old	 Software engineer	 Taoist	 Liberal
168	 Johnson	 Female	 White	 Bachelor's degree	 35 years old	 Marketing professional	 Baptist	 Democrat
169	 Rachel Kim	 female	 Asian	 Bachelor's degree in Science	 35 years old	 Registered Nurse	 Christian	 Democrat
170	 Chen	 female	 Asian	 College Graduate	 35 years old	 Marketing Manager	 Buddhist	 Democrat
171	 Anderson	 Female	 White	 Bachelor's Degree	 55 years old	 Retired nurse	 Catholic	 Democratic
172	 Ryan Adams	 female	 white	 college	 32 years old	 teacher	 Christian	 democrat
173								
174	 Emma Lee	 female	 Asian	 Master's degree	 27 years old	 Marketing professional	 Buddhist	 Moderate Democrat
175	 Johnson	 Female	 Black	 College Graduate	 35 years old	 Marketing Executive	 Christian	 Liberal
176	 Johnson Williams	 Female	 African American	 Bachelor's Degree	 28 years old	 Marketing Manager	 Christian	 Democrat
177	 Smith	 Female	 White	 College Graduate	 35 years old	 Office Worker	 Christian	 Liberal
178	 Smith	 Female	 White	 College degree	 35 years old	 Salesperson	 Christianity	 Democrat
179	 Sara	 female	 White	 Bachelor's degree in Biology	 28 years old	 laboratory technician	 Unitarian	 Democrat
180	 Daniel Chen	 Male	 Asian	 Bachelor's Degree	 32 years old	 software engineer	 Buddhist	 Democrat
181	 Samantha Lee	 Female	 Asian	 College	 25 years old	 IT software engineer	 Buddhist	 Democrat
182	 Smith	 Female	 White	 College Degree	 32 years old	 Nurse	 Christian	 Democratic
183	 Danielle Johnson	 female	 White	 Bachelor's Degree	 32 years old	 Sales representative	 Methodist	 Democrat
184	 Olivia Nelson	 female	 Black	 Master's degree in Biology	 28 years old	 Research scientist	 Catholic	 Democrat
185	 Johnson Davis	 Female	 White	 College graduate	 Healthcare coverage	 Graphic designer	 Episcopalian	 Democratic
186	 Johnson Smith	 female	 White	 Bachelor's Degree	 27 years old	 Software Engineer	 Anglican	 Democrat
187	 Sarah Johnson	 Female	 White	 Bachelor's Degree	 28 years old	 Sales Representative	 Unknown	 Liberal
188	 Smith	 female	 White	 Bachelor's degree	 28 years old	 Teacher	 Protestant	 Moderate Republican
189	 Adams	 Female	 White	 Bachelor's Degree in Public Health	 32 years old	 Healthcare Professional	 Protestant	 Democrat
190	 Mary Taylor	 female	 white	 College	 55 years old	 healthcare worker	 Christian	 Democrat
191	 Sophie Alexander	 Female	 White	 Bachelor's Degree in Nursing	 35 years old	 Hospital Nurse	 Catholic	 Moderate Republican
192	 John Smith	 Male	 White	 College degree	 35 years old	 Small business owner	 Methodist	 Moderate Democrat
193	 Jenna Lee	 Female	 Asian	 Bachelor's degree in Marketing	 30 years old	 Marketing manager at a tech company	 Buddhist	 Progressive
194	 Emilia Santiago	 Female	 Hispanic	 Bachelor's Degree	 55 years old	 Lawyer	 Christian	 Democrat
195	 Johnson Smith	 Female	 White	 Bachelor's Degree	 28 years old	 Marketing Professional	 Episcopalian	 Democratic
196	 Johnson Smith	 Female	 White	 College graduate	 50 years old	 Nurse	 Protestant	 Democrat
197	 Emily Chen	 female	 Asian	 Bachelor's degree	 35 years old	 Marketing professional	 Buddhist	 liberal
198	 Rachel Green	 Female	 White	 College	 28 years old	 Graphic Designer	 Agnostic	 Democrat
199	 Sarah Johnson	 Female	 White	 Bachelor's degree	 35 years old	 Doctor	 Christian	 Democratic
200	 Johnson	 female	 white	 Bachelor's degree	 35 years old	 nurse	 Methodist	 Democratic
201	 Emily Lee	 Female	 Asian	 Bachelor's Degree	 25 years old	 healthcare worker	 Buddhist	 liberal
202	 Elise Williams	 Female	 White	 Bachelor's degree	 50 years old	 Teacher	 Christian	 Democratic
203	 Sara Lee	 female	 Asian	 Bachelor's degree	 35 years old	 Accountant	 Buddhist	 Democrat
204	 Lee Nguyen	 Female	 Asian	 Bachelor's degree	 35 years old	 Technology consultant	 Buddhist	 Liberal
205	 Thompson	 Female	 Black	 College	 55 years old	 lawyer	 Baptist	 Democrat
206	 Brown, Amy	 Female	 White	 Bachelor's degree	 52 years old	 Human resources manager	 Catholic	 Liberal
207	 Bailey James	 female	 Caucasian	 Master's degree	 35 years old	 scientist	 Lutheran	 moderate liberal
208	 Bailey Johnson	 Female	 White	 Bachelor's Degree in Public Health	 28 years old	 Social Worker	 Progressive Christianity	 Democratic
209	 Kaitlyn Williams	 female	 white	 Bachelor's degree	 28 years old	 software engineer	 Baptist	 Democratic
210	 Chan Lee	 female	 Asian	 Graduate degree	 35 years old	 Sales associate	 Buddhist	 Democrat
211	 Sarah Lee	 female	 Asian	 Bachelor's degree	 32 years old	 HR professional	 Catholic	 liberal
212	 Emily Choi	 Female	 Asian	 Bachelor's Degree in Science	 32 years old	 Chemist	 Non-religious	 Lean Democrat
213	 Smith	 Female	 Black	 Bachelor's Degree	 55 years old	 Professor of Public Health	 Christian	 Liberal
214	 Lee Kim	 female	 Asian	 Bachelor's degree in Science	 28 years old	 Researcher in Biomedical Sciences	 Buddhist	 Libertarian
215	 Grace Chen	 female	 Asian	 Graduate with a bachelor's degree	 35 years old	 Lawyer	 Catholic	 Democratic
216	 Baker Johnson	 female	 African American	 College Graduate	 35 years old	 Marketing Manager	 Christianity	 liberal
217	 Katherine Chen	 Female	 Asian	 Bachelor's Degree	 28 years old	 Software Engineer	 Taoism	 Democrat
218	 Emma Price	 female	 White	 College	 28 years old	 Marketing Specialist	 Lutheran	 Democrat
219	 Sarah Lee	 female	 Asian	 Bachelor's degree	 27 years old	 graphic designer	 non-religious	 left-leaning
220	 Miller Davis	 female	 White	 Bachelor's Degree in Biology	 35 years old	 Scientist	 Christian	 Liberal
221	 Sophia Lee	 Female	 Asian	 Bachelor's Degree in Nursing	 35 years old	 Healthcare Worker	 Buddhist	 Democratic
222	 Patricia Chen	 Female	 Asian	 Bachelor's degree	 35 years old	 Physician Assistant	 Buddhist	 Democratic
223	 Maria Rodriguez	 female	 Hispanic	 College degree	 32 years old	 Medical nurse	 Catholic	 Democratic
224	 Kennedy Simmons	 female	 African American	 Bachelor's degree in Nursing	 52 years old	 RN	 Baptist	 Democrat
225	 Emma Davis	 female	 Asian	 Bachelor's degree	 32 years old	 software engineer	 Buddhist	 liberal
226	 Rachel Nguyen	 Female	 Asian	 Bachelor's degree in Biology	 28 years old	 Nurse	 Christian	 Democrat
227	 Sophia Lee	 Female	 Asian	 Bachelor's degree in Science	 32 years old	 Teacher	 Buddhist	 Liberal
228	 Emily Chen	 Female	 Asian	 Bachelor's degree in Science	 32 years old	 Biotechnologist	 Buddhist	 Liberal
229	 Evans Anderson	 female	 White	 Bachelor's degree	 35 years old	 healthcare professional	 Protestant	 Democratic
230	 Sarah Smith	 Female	 White	 Bachelor's Degree	 27 years old	 Teacher	 Catholic	 Moderate Democrat
231	 Sarah Chen	 Female	 Asian	 Bachelor's Degree	 30 years old	 Office worker	 Taoist	 Moderate Democrat
232	 Smith	 female	 White	 Bachelor's degree in engineering	 28 years old	 software developer	 Roman Catholic	 liberal
233	 Sarah Williams	 Female	 Caucasian	 Bachelor's degree	 38 years old	 Healthcare professional	 Presbyterian	 Liberal
234	 Rachel Greenfield	 female	 white	 Bachelor's Degree in Computer Science	 35 years old	 Software Engineer	 Jewish	 moderate Democrat
235	 Sarah Kim	 Female	 Asian	 Bachelor's Degree	 35 years old	 Lawyer	 Christian	 Democrat
236	 Kari Williams	 Female	 White	 Bachelor's Degree in Science	 32 years old	 Teacher	 Non-Religious	 Liberal
237	 Mark Williams	 male	 White	 Bachelor's degree	 35 years old	 computer programmer	 Christianity	 Democrat
238	 Johnson	 Female	 Caucasian	 College	 32 years old	 teacher	 Protestant	 Liberal
239	 Lee Kim	 female	 Asian	 Graduate with a Bachelor's degree	 28 years old	 Lawyer	 Christian	 Liberal
240	 Olivia Jackson	 Female	 White	 Bachelor's Degree	 27 years old	 marketing manager	 Methodist	 liberal
241	 Clark Mitchell	 Male	 African American	 Master's degree in Science	 55 years old	 Physician	 Presbyterian	 Democrat
242	 Johnson	 Female	 White	 Bachelor's degree	 55 years old	 HR Manager	 Catholic	 Democrat
243	 Lee Scott	 Female	 White	 Bachelor's Degree	 52 years old	 Sales Manager	 Episcopalian	 Leans Democrat
244	 Smith	 female	 white	 Bachelor's degree	 32 years old	 software engineer	 Christianity	 liberal
245	 Taylor Brown	 Female	 White	 Bachelor's degree	 28 years old	 Marketing Manager	 Agnostic	 Democratic
246	 Olivia Davis	 Female	 White	 College Graduate	 35 years old	 Engineer	 Non-religious	 Democratic
247	 Emily Chen	 female	 Asian	 College graduate	 30 years old	 Software Engineer	 Non-religious	 Libertarian
248	 Lee Wong	 female	 Asian	 Bachelor's degree	 35 years old	 software engineer	 Taoist	 Democratic
249	 Williams	 Female	 Black	 College Graduate	 35 years old	 Graphic Designer	 Catholic	 Democrat
250	 Kimberly Johnson	 female	 Black	 Bachelor's degree in Biology	 32 years old	 Nurse	 Christian	 Democrat
251	 Marta Williams	 female	 White	 Graduate from a four-year college or university	 55 years old	 High-level executive in healthcare	 Protestant	 Liberal
252	 Samantha Brown	 female	 white	 Bachelor's degree in Nursing	 35 years old	 nurse	 Baptist	 liberal
253	 Elizabeth Taylor	 Female	 African American	 College Graduate	 65 years old	 Professional, working in healthcare	 Christianity	 Democrat
254	 Smith	 Female	 Caucasian	 College	 52 years old	 Healthcare worker	 None (specific)	 Moderate Republican
255	 Rodriguez Garcia	 Female	 Hispanic	 Bachelor's degree in Computer Science	 32 years old	 software engineer	 Christian	 Democrat
256	 Emily Thompson	 Female	 Caucasian	 Bachelor's degree	 32 years old	 Software engineer	 Methodist	 Liberal
257	 Emma Hernandez	 Female	 Asian	 Bachelor's Degree	 28 years old	 Marketing Manager	 Non-practicing Buddhist	 Democrat
