	Name	Gender	Race	Education	Age	Occupation	Religion	Political belief
78	 Kennedy Williams	 Male	 White	 High School	 50 years old	 Construction worker	 Evangelical Christian	 Conservative
79	 James Johnson	 Male	 White	 Bachelor's degree in Business Administration	 38 years old	 Small business owner	 Baptist	 Republican
80	 Austin Wallace	 Male	 White	 College graduate	 38 years old	 construction worker	 Baptist	 Republican
81	 Samuel Adams	 Male	 Caucasian	 College degree	 65 years old	 Software engineer	 Evangelical	 Conservative
82	 Benson Kim	 Male	 Asian	 Bachelor's degree in Biology	 35 years old	 Software Engineer	 Baptist	 Conservative
83	 Johnson Smith	 male	 white	 bachelor's degree	 35 years old	 business owner	 evangelical Christian	 conservative
84	 Lorraine Taylor	 Female	 White	 College	 65 years old	 Small business owner	 Southern Baptist	 Conservative
85	 Kelly Jenkins	 female	 Caucasian	 college dropout	 35 years old	 business owner	 Christian fundamentalist	 conservative
86	 Harper Lee	 female	 White	 High School	 62 years old	 Writer	 non-religious	 liberal
87	 Jordan Smith	 Female	 Caucasian	 No college degree	 35 years old	 House cleaner	 Christian	 Republican
88	 Michael Carter	 Male	 White	 College Dropout	 52 years old	 Construction Worker	 Fundamentalist Christian	 Republican
89	 Johnson	 male	 African American	 High School	 35 years old	 chef	 evangelical Christian	 liberal
90	 Sarah Lee	 Female	 Asian	 College	 35 years old	 small business owner	 Buddhist	 right-wing
91	 Brad Jones	 male	 White	 High School	 50 years old	 Sales representative	 Baptist	 Conservative
92	 Lisa Michaels	 female	 White	 College	 55 years old	 Sales manager	 Evangelical Christian	 Conservative
93	 Smith	 female	 White	 High School	 35 years old	 Construction worker	 Christian	 conservative
94	 Kim Davis	 female	 White	 high school dropout	 35 years old	 small business owner	 evangelical Christian	 conservative
95	 Kathy James	 female	 White	 College graduate	 52 years old	 small business owner	 Baptist	 conservative
96	 Smith Johnson	 Female	 White	 College	 52 years old	 office worker	 Conservative Christian	 Republican
97	 Kate Jackson	 female	 White	 N/A (does not hold a college degree)	 32 years old	 Construction worker	 Christian	 Conservative
98	 Daniel Thomas	 male	 White	 Bachelor's degree in Business	 35 years old	 sales representative	 Catholic	 Republican
99	 Johnson	 male	 White	 None	 65 years old	 construction worker	 evangelical Christian	 Republican
100	 Thompson	 male	 white	 High School	 52 years old	 carpenter	 Baptist	 conservative
101	 Thompson	 Female	 White	 Bachelor's degree in Nursing	 35 years old	 Self-employed as a Reiki healer and mass therapist	 Pentecostal Christian	 Conservative
102	 Samantha Lewis	 female	 white	 high school	 32	 small business owner	 Baptist	 conservative
103	 Johnson	 male	 African American	 Bachelor's degree	 35 years old	 construction worker	 Pentecostal Christian	 conservative
104	 Brown	 female	 white	 college graduate	 25 years old	 entry-level professional	 evangelical Christian	 conservative.
105	 Samuel Jones	 male	 Black	 College degree	 52 years old	 construction worker	 Baptist	 Republican
106	 Johnson Brown	 male	 White	 High School	 55 years old	 blue collar worker	 non-religious	 Republican
107	 Michelle James	 Female	 White	 No formal education	 38 years old	 Stay-at-home mom	 Evangelical Christian	 Conservative
108	 Smith	 female	 white	 college	 35 years old	 small business owner	 evangelical Christian	 conservative
109	 Harper Lee	 Female	 Caucasian	 College	 63 years old	 Professional writer	 Agnostic	 Independent
110	 Kelly Smith	 female	 white	 High School	 50 years old	 small business owner	 Baptist	 Conservative
111	 Johnson	 Male	 White	 College graduate	 35 years old	 businessman	 Evangelical Christian	 conservative
112	 Sarah Thompson	 female	 White	 Elementary School	 28 years old	 Stay-at-home Mom	 Baptist	 Republican
113	 Kayla Johnson	 female	 white	 Some College	 25 years old	 stay-at-home mom	 evangelical Christian	 conservative
114	 Smith	 Male	 White	 Bachelor's degree in Engineering	 38 years old	 Plumber	 Evangelical Christian	 Republican
115	 Olivia Smith	 female	 White	 College	 28 years old	 Student	 Independent Baptist	 Libertarian
116	 Johnson	 Male	 White	 High School	 55 years old	 Builder	 Christian	 Conservative
117	 Jake Lee	 Male	 White	 High School	 35 years old	 construction worker	 Jehovah's Witness	 liberal
118	 Smith	 male	 white	 High School dropout	 32 years old	 construction worker	 conservative evangelical Christian	 Republican
119	 Smith	 female	 white	 bachelor's degree	 38 years old	 stay-at-home mom	 conservative evangelical Christian	 Republican
120	 Ryan Davis	 male	 white	 High School	 50 years old	 businessman	 Protestant	 Republican
121	 Michael Adams	 Male	 White	 Some college education but no degree	 50 years old	 Entrepreneur	 Christian	 Republican
122	 Johnson	 female	 white	 college dropout	 35 years old	 stay-at-home mom	 Protestant	 conservative
123	 Kimberly Baker	 Female	 White	 Some College	 35 years old	 Small business owner	 Baptist	 Conservative
124	 John Johnson	 Male	 White	 Bachelor's degree in Business Administration	 55 years old	 small business owner	 Christian	 Republican
125	 Sarah Johnson	 female	 Caucasian	 college dropout	 30 years old	 small business owner	 fundamentalist	 conservative
126	 Michelle Johnson	 female	 White	 college	 28 years old	 server	 fundamentalist Christian	 Republican
127	 Samantha Lee	 Female	 Asian	 Bachelor's degree	 35 years old	 stay-at-home parent	 Christian	 Republican
128	 Darla Greenfield	 female	 White	 College-educated	 52 years old	 homemaker	 Baptist	 Liberal
129	 Kara Thomas	 female	 white	 college dropout	 27 years old	 server	 fundamentalist	 Republican
130	 Sara Johnson	 female	 White	 Home Schooled	 38 years old	 Self-employed entrepreneur	 Christian	 Republican
131	 Jane Johnson	 Female	 White	 college education	 65 years old	 Homemaker	 evangelical Christian	 conservative
132	 Daniel Martin	 male	 White	 high school dropout	 32 years old	 unspecified	 Protestant	 conservative
133	 Jenkins	 Female	 White	 Bachelor's degree in Business	 35 years old	 Marketing manager	 Baptist	 Conservative
134	 Bailey Johnson	 Female	 White	 college dropout	 27 years old	 stay-at-home mom	 Protestant	 libertarian
135	 Samantha Brown	 Female	 White	 Bachelor's Degree in Business	 35 years old	 Entrepreneur	 Evangelical Christian	 Republican
136	 Davis Thomas	 Male	 White	 High School	 55 years old	 Contractor	 Baptist	 Conservative
137	 Johnson Lee	 Male	 White	 Some college	 35 years old	 Computer software engineer	 Baptist	 Republican
138	 Lewis Martin	 Male	 White	 College Degree	 38 years old	 Office Worker	 Evangelical Christian	 Conservative
139	 John Miller	 male	 white	 college degree	 38 years old	 musician	 Evangelical	 conservative
140	 Jacqueline Lee	 Female	 Asian	 Bachelor's Degree in Biology	 32 years old	 Artist	 Catholic	 Republican
141	 Samantha Lee	 female	 Asian	 High School	 30 years old	 Stay-at-home mom	 Buddhist	 conservative
142	 Jill Smith	 female	 White	 Some college	 50 years old	 hair salon owner	 Evangelical Christian	 Republican
143	 Johnson	 Male	 White	 Bachelor's degree	 65 years old	 factory worker	 Baptist	 conservative
144	 Michelle Walker	 Female	 White	 College graduate	 28 years old	 salesperson	 Evangelical Christian	 conservative
145	 Brittany Adams	 Female	 Caucasian	 High School	 28 years old	 Stay-at-home mother	 Baptist	 Republican
146	 Nelson Rodriguez	 Male	 Hispanic	 High School	 35 years old	 Small business owner	 Evangelical Christian	 Conservative
147	 Emily Powers	 female	 White	 Associate's degree	 30 years old	 Marketing professional	 evangelical Christian	 conservative
148	 Brown	 female	 White	 None	 35 years old	 Accountant	 Evangelical Christian	 Republican
149	 Sarah Patel	 Female	 Asian	 High School	 35 years old	 Data Analyst	 Buddhist	 Progressive
150	 Sarah Brown	 female	 White	 bachelor's degree in Nursing	 25 years old	 office manager	 Evangelical Christian	 conservative
151	 Michael Chen	 male	 Chinese	 College	 35 years old	 small business owner	 Taoist	 Republican
152	 Evan Johnson	 male	 white	 High School	 30 years old	 construction worker	 Pentecostal Christian	 conservative
153	 Andrew Lee	 male	 White	 College degree	 30 years old	 small business owner	 Mormon	 Republican
154	 Mary Jones	 female	 White	 College degree in business	 50 years old	 small business owner	 Pentecostal Christian	 conservative
155	 Wilson	 male	 White	 college-educated	 55 years old	 mechanic	 fundamentalist Christian	 conservative
156	 Donald Thomas	 Male	 White	 Bachelor's degree	 58 years old	 Retired politician	 Evangelical Christian	 Republican
157	 Lucy Lee	 Female	 White	 Bachelor's degree in business	 35 years old	 small business owner	 Baptist	 conservative
158	 Johnson Williams	 Female	 White	 College	 55 years old	 Marketing Executive	 Evangelical Christian	 Republican
159	 Jacobson Smith	 male	 Caucasian	 Bachelor's degree	 38 years old	 Small business owner	 Evangelical	 Conservative
160	 Lillian Smith	 female	 White	 none	 55 years old	 housewife	 Methodist	 conservative
161	 Catherine Miller	 female	 Caucasian	 some college	 32 years old	 stay-at-home mom	 Evangelical Christian	 conservative
162	 Samuel Johnson	 Male	 African American	 Bachelor's Degree	 35 years old	 Self-employed	 Catholic	 Republican
163	 Taylor Stone	 male	 White	 Some college	 25 years old	 Mechanic	 Christian	 conservative
164	 Rose Williams	 Female	 White	 Bachelor's Degree	 55 years old	 artist	 Non-religious	 right-leaning
165	 Morgan Williams	 Female	 Caucasian	 Highest level of education attained: some college	 35 years old	 Accountant	 evangelical Christian	 Conservative
166	 Johnson	 male	 white	 college	 55 years old	 salesman	 evangelical Christian	 conservative
167	 Johnson Kim	 male	 Asian	 GED	 28 years old	 unemployed	 Christian	 conservative
168	 Catherine Ryan	 Female	 White	 None	 38 years old	 Homemaker	 Evangelical Christian	 Republican
169	 Stephen Allen	 Male	 White	 High School	 52 years old	 Construction worker	 Christian	 Republican
170	 Emily Smith	 female	 White	 Bachelor's degree in science	 35 years old	 lawyer	 Baptist	 Republican
171	 Joseph Baker	 Male	 White	 Graduated high school	 52 years old	 Mechanic	 Evangelical Christian	 Conservative
172	 Sarah Johnson	 female	 white	 Bachelor's degree	 28 years old	 Stay-at-home mom	 evangelical Christian	 conservative
173	 Mark Johnson	 Male	 White	 College Dropout	 52 years old	 Salesman	 Evangelical Christian	 Republican
174	 Olivia Matthews	 female	 White	 Bachelor's Degree	 38 years old	 hairdresser	 Baptist	 liberal
175	 Samuel Jackson	 male	 African American	 Bachelor's degree in marketing	 55 years old	 marketing executive	 Christian	 Republican
176	 Sarah Williams	 Female	 Caucasian	 High School	 27 years old	 Office Manager	 Baptist	 Moderate Republican
177	 Tim Smith	 male	 white	 some college	 62 years old	 construction worker	 evangelical Christian	 conservative
178	 James Roberts	 Male	 White	 College dropout	 38 years old	 Factory worker	 Southern Baptist	 Republican
179	 Smith	 male	 White	 College Graduate	 35 years old	 Carpenter	 Evangelical	 Conservative
180	 Sarah Johnson	 female	 white	 high school dropout	 25 years old	 college student studying finance	 Catholic	 Republican
181	 Jennifer Davis	 Female	 White	 Home schooled	 38 years old	 Homemaker	 Evangelical Christian	 Conservative
182	 Sarah Johnson	 female	 white	 High School Diploma	 28 years old	 stay-at-home mom	 Christian	 right-wing
183	 Harlow Waters	 Female	 Caucasian	 Junior in College	 22 years old	 Household Management Student	 Baptist	 Republican
184	 Claire Peterson	 Female	 White	 High School	 35 years old	 Freelance artist	 Baptist	 Conservative
185	 Miller Johnson	 male	 White	 High School dropout	 35 years old	 Construction worker	 Non-denominational Christian	 Right-leaning
186	 James Hanson	 Male	 White	 Bachelors' Degree	 55 years old	 Salesperson	 Christianity	 Conservative
187	 Mandy Clark	 female	 Caucasian	 High School	 30 years old	 sales associate	 Evangelical Christian	 conservative
188	 Sarah Lee	 Female	 White	 Bachelor's Degree	 28 years old	 Sales Associate	 Evangelical Christian	 Republican
189	 Jones Smith	 male	 white	 Bachelor's Degree	 62 years old	 businessman	 Baptist	 conservative
190	 Sarah Nelson	 Female	 White	 Bachelor's degree	 28 years old	 photographer	 Conservative Christianity	 Republican
191	 Sarah Taylor	 female	 white	 High School	 52 years old	 receptionist	 Baptist	 right-wing
192	 White Johnson	 Male	 Caucasian	 Bachelors degree	 52 years old	 CEO of a small business	 Conservative Evangelical	 Conservative Republican
193	 Samantha Jones	 Female	 White	 Bachelor's Degree	 52 years old	 Stay-at-home Mom	 Christianity	 Conservative
194	 Davis Johnson	 male	 African American	 GED	 55 years old	 factory worker	 Christian	 moderate
195	 William James	 male	 Caucasian	 High School	 38 years old	 electrician	 Catholic	 liberal
196	 Johnson Anderson	 male	 white	 high school dropout	 65 years old	 retired journalist	 evangelical Christian	 conservative
197	 Jenna Hanson	 female	 Caucasian	 High School dropout	 38 years old	 retail worker	 conservative Christian	 strongly anti-vaccine
198	 Johnson	 female	 White	 College	 32 years old	 Sales associate	 Evangelical Christian	 Republican
199	 Adams Smith	 Male	 White	 College degree	 65 years old	 Small business owner	 Christianity	 Conservative
200	 Michael Davis	 male	 White	 High School	 52 years old	 Construction worker	 conservative Christian	 Republican
201	 Jones	 male	 White	 High School	 35 years old	 Truck driver	 Baptist	 Trump supporter
202	 Smith	 male	 White	 High School dropout	 50 years old	 construction worker	 evangelical Christian	 conservative
203	 Margaret Johnson	 female	 white	 College	 55 years old	 Construction worker	 Baptist	 Right-leaning
204	 Amanda Turner	 female	 White	 College graduate	 55 years old	 Entrepreneur	 Evangelical Christian	 Conservative
205	 Stephen Wilson	 male	 White	 Bachelor's Degree	 52 years old	 Business Owner	 Baptist	 Republican
206	 Christine Nelson	 female	 white	 Some college education	 58 years old	 retired teacher	 fundamentalist Christian	 conservative Republican
207	 Jen Schneider	 Female	 White	 College dropout	 53 years old	small business owner	 Baptist	 Conservative
208	 Smith	 female	 White	 College degree	 55 years old	 small business owner	 Christian	 Republican
209	 Angela Jackson	 Female	 White	 Some college education	 50 years old	 stay-at-home mom	 Evangelical Christian	 Republican
210	 Taylor Lee	 female	 White	 College Degree	 26 years old	 small business owner	 Baptist	 conservative
211	 Johnson Williams	 male	 White	 High School	 55 years old	 Small business owner	 Evangelical	 Republican
212	 Jane Doe	 Female	 White	 High School	 52 years old	 Office worker	 Southern Baptist	 conservative
213	 Tyler Jones	 male	 White	 High School	 25 years old	 Welder	 Catholic	 Republican
214	 Baker	 male	 White	 High School	 35 years old	 factory worker	 Baptist	 Republican
215	 John Jones	 Male	 White	 High School	 50 years old	 construction worker	 Baptist	 Republican
216	 Henry Adams	 Male	 White	 College Degree	 55 years old	 construction worker	 evangelical Christian	 Republican
217	 Smith	 male	 Caucasian	 College Degree	 50 years old	 Business owner	 Protestant	 Republican
218	 James Johnson	 male	 White	 Some college but no degree	 38 years old	 Self-employed contractor	 Born-again Christian	 Conservative
219	 Samantha Lee	 Female	 White	 College degree in Business Administration	 35 years old	 Small business owner	 Baptist	 Conservative
220	 Samantha Davis	 Female	 White	 Some college	 28 years old	 student	 Evangelical Christian	 Republican
221	 Garcia Marquez	 male	 Hispanic	 GED	 35 years old	 construction worker	 catholic	 conservative
222	 Thompson	 male	 White	 College education	 62 years old	 Business owner	 Baptist	 Conservative
223	 Samantha Adams	 Female	 White	 College	 32 years old	 small business owner	 Baptist	 Republican
224	 Johnson	 Male	 White	 College dropout	 38 years old	 self-employed	 Fundamentalist Christian	 Conservative
225	 Samuel Jones	 male	 White	 Bachelor's Degree	 62 years old	 construction worker	 conservative Christian	 Republican
226	 Johnson Smith	 male	 white	 Some college but no degree	 65 years old	 retired from construction industry	 Baptist	 conservative
227	 Steven Mitchell	 male	 White	 Bachelors degree	 38 years old	 sales manager	 Mormon	 right-wing conservative
228	 Olivia Evans	 Female	 White	 College Dropout	 32 years old	 Sales Associate	 Fundamentalist Christian	 Republican
229	 Johnson Smith	 male	 White	 Bachelor's Degree	 32 years old	 Business Owner	 Evangelical	 Republican
230	 Alex Brown	 Female	 White	 College Graduate	 28 years old	 Retail worker	 Baptist	 Republican
231	 William Johnson	 male	 White	 High School dropout	 35 years old	 self-employed construction worker	 evangelical Christian	 conservative
232	 Thomas Williams	 male	 white	 College Dropout	 38 years old	 Mechanic	 evangelical Christian	 Republican
233	 Thomas Williams	 male	 White	 Some College	 60 years old	 Small business owner	 Christian (evangelical)	 conservative
234	 Sarah Anderson	 Female	 White	 Bachelor's Degree	 38 years old	 Small business owner	 Christian	 Republican
235	 Jackson Smith	 Male	 White	 College dropout	 55 years old	 Former construction worker	 Evangelical Christian	 Conservative
236	 Jones Smith	 male	 White	 College education, Bachelor's degree	 65 years old	 Truck driver	 Mormon	 Independent
237	 Kelly Larson	 Female	 White	 Bachelor's degree	 32 years old	 Stay-at-home parent	 Christian	 Republican
238	 Alex Taylor	 Male	 White	 Bachelor's degree	 50 years old	 Independent Contractor	 Baptist	 Conservative
239	 Smith	 female	 White	 college dropout	 50 years old	 fast food worker	 religious conservative	 strongly conservative
240	 Alexander Turner	 male	 white	 Some college	 55 years old	 self-employed	 Protestant	 conservative
241	 Susan Smith	 Female	 White	 High School	 50 years old	 Small business owner	 Baptist	 Republican
242	 Kim Han	 Female	 Asian	 College Graduate	 25 years old	 Marketing Specialist	 Protestant Christian	 Libertarian
243	 Smith	 Male	 White	 GED	 38 years old	 Mechanic	 None	 Conservative
244	 Sarah Johnson	 female	 White	 Some college	 52 years old	 self-employed business owner	 Baptist	 conservative
245	 Smith	 female	 White	 bachelor's degree	 27 years old	 bookstore owner	 Baptist	 liberal
246	 Mark Taylor	 Male	 White	 Bachelor's degree	 50 years old	 Mechanic	 Christian	 Conservative
247	 Kane Williams	 female	 Black	 N/A	 55 years old	 family nurse practitioner	 Pentecostalist	 Republican.
248	 James Smith	 Male	 White	 High School	 65 years old	 Business Owner	 Evangelical Christian	 Conservative
249	 Emily Walsh	 female	 White	 College graduate	 25 years old	 homemaker	 Evangelical	 Conservative
250	 James Smith	 male	 White	 College	 55 years old	 Retired businessman	 Christian	 Conservative
251	 Hannah Miller	 female	 white	 College graduate	 30 years old	 Sales representative	 evangelical Christian	 Republican
252	 Jane Smith	 female	 white	 College graduate	 32 years old	 business owner	 Baptist	 Republican
253	 Victoria Williams	 Female	 White	 High School	 52 years old	 Store owner	 Christian	 Conservative
254	 Robert Johnson	 male	 white	 College	 50 years old	 truck driver	 Baptist	 Republican
255	 Shana Watson	 female	 White	 College Bachelor's Degree	 50 years old	 financial advisor	 non-religious	 Republican
256	 Johnson Lee	 male	 White	 College Degree	 35 years old	 Small Business Owner	 Evangelical Christian	 Republican
257	 Jamie Lee Smith	 female	 White	 High School	 25 years old	 small business owner	 Southern Baptist	 libertarian
258	 Jackson Johnson	 male	 White	 High School	 50 years old	 construction worker	 Christian	 Conservative
259	 Ethan Williams	 Male	 White	 Some College	 35 years old	 Self-employed carpenter	 Christian	 conservative
260	 Smith	 male	 white	 Bachelor's degree	 55 years old	 entrepreneur	 conservative Christian	 Republican
261	 Johnson Smith	 male	 white	 College educated	 32 years old	 Business owner	 Christianity	 Republican
262	 Daniel Price	 Male	 White	 High School dropout	 35 years old	 unemployed	 None	 libertarian
263	 Baker Johnson	 male	 white	 University Graduate	 55 years old	 Realtor	 Non-Religious	 Libertarian
264	 Harper Thomas	 female	 White	 Bachelors Degree	 35 years old	 remote worker	 Evangelical Christian	 Republican
265	 Johnson Lee	 Female	 Asian	 Higher than High School	 52 years old	 teacher	 Evangelical Christian	 conservative
266	 Jennifer Smith	 Female	 White	 Associate's degree	 28 years old	 Office administrator	 Evangelical	 conservative
267	 Michael Brown	 male	 White	 High School	 38 years old	 plumber	 conservative Christian	 Republican
268	 Johnson Williams	 male	 White	 College graduate	 65 years old	 Software Engineer	 Christian	 Republican
269	 Smith	 male	 white	 college degree	 50 years old	 retired businessman	 Baptist	 conservative
270	 Tyler Daniels	 Male	 White	 High School	 38 years old	 business owner	 evangelical Christian	 Republican
271	 Smith	 male	 white	 high school	 55 years old	 small business owner	 evangelical Christian	 conservative
272	 James Jackson	 Male	 White	 Bachelor's Degree in Business Administration	 65 years old	 Owner of a small business	 Christian	 Conspiracy theorist
273	 Smith	 female	 White	 Some college but no degree	 55 years old	 small business owner	 Baptist	 conservative
274	 Sarah Johnson	 Female	 White	 High School dropout	 32 years old	 stay-at-home mom	 Baptist	 conservative
275	 Michael Lee	 male	 White	 Some college	 55 years old	 small business owner	 Baptist	 Republican
276	 Alex	 Male	 White	 High School	 55 years old	 mechanic	 Christianity	 Republican
277	 Lara Jackson	 female	 White	 High School	 55 years old	 Small business owner	 Evangelical Christian	 Conservative
278	 Melvin Reed	 Male	 White	 Graduated college, but didn't receive a degree	 55 years old	 business owner	 conservative Christianity	 staunch Republican
